backhand,rank,name,country_name,country_id,active,dob,totalPoints,tournamentPoints,rankingPoints,achievementsPoints,tGPoints,tFLPoints,tMPoints,tOPoints,tABPoints,tDTPoints,yearEndRankPoints,bestRankPoints,weeksAtNo1Points,weeksAtEloTopNPoints,bestEloRatingPoints,grandSlamPoints,bigWinsPoints,h2hPoints,recordsPoints,bestSeasonPoints,greatestRivalriesPoints,performancePoints,statisticsPoints,grandSlams,tourFinals,altFinals,masters,olympics,bigTitles,titles,weeksAtNo1,won,lost,bestEloRating,bestEloRatingDate,wonPct
Two-handed,23,Michael Chang,United States,USA,FALSE,2/22/72,153,125,21,7,33,12,41,0,37,2,10,5,0,6,0,0,5,0,2,0,0,0,0,1,0,0,7,0,8,34,0,662,312,2267,3/18/96,68.00%
One-handed,24,Stan Smith,United States,USA,FALSE,12/14/46,148,125,18,5,29,19,22,0,49,6,7,5,0,6,0,0,5,0,0,0,0,0,0,2,1,1,3,0,7,49,0,776,307,2381,5/16/73,71.70%
Two-handed,25,Yevgeny Kafelnikov,Russian Federation,RUS,FALSE,2/18/74,137,105,22,10,33,13,23,3,30,3,12,8,1,1,0,0,3,5,1,0,0,1,0,2,0,0,0,1,3,26,6,609,306,2216,2/22/99,66.60%
Two-handed,26,Daniil Medvedev,Russian Federation,RUS,TRUE,2/11/96,134,97,25,12,29,12,33,0,21,2,11,8,2,4,0,0,5,6,0,0,0,1,0,1,1,0,6,0,8,20,16,329,133,2316,1/31/22,71.20%
One-handed,27,Gustavo Kuerten,Brazil,BRA,FALSE,9/10/76,129,85,29,15,29,6,34,0,16,0,14,8,4,3,0,2,4,8,1,0,0,0,0,3,1,0,5,0,9,20,43,358,195,2281,8/13/01,64.70%
Two-handed,28,Goran Ivanisevic,Croatia,CRO,FALSE,9/13/71,125,107,12,6,33,16,24,1,31,2,5,5,0,2,0,0,4,1,0,0,0,0,1,1,0,1,2,0,4,22,0,599,333,2246,11/23/92,64.30%
Two-handed,29,David Ferrer,Spain,ESP,FALSE,4/2/82,124,110,10,4,25,8,27,0,45,5,6,3,0,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,1,27,0,734,377,2348,2/25/13,66.10%
One-handed,30,Thomas Muster,Austria,AUT,FALSE,10/2/67,123,102,15,6,19,2,42,0,39,0,4,8,1,2,0,0,3,1,0,0,0,2,0,1,0,0,8,0,9,44,6,626,274,2287,10/30/95,69.60%
One-handed,31,Tom Okker,Netherlands,NED,FALSE,2/22/44,123,106,11,6,18,5,40,0,43,0,5,3,0,3,0,0,5,1,0,0,0,0,0,0,0,0,4,0,4,34,0,643,274,2317,4/1/74,70.10%
One-handed,32,Vitas Gerulaitis,United States,USA,FALSE,7/26/54,120,100,13,7,29,13,30,0,26,2,7,3,0,3,0,0,4,3,0,0,0,0,0,1,0,1,4,0,6,26,0,534,233,2335,6/11/79,69.60%
Two-handed,33,Alexander Zverev,Germany,GER,TRUE,4/20/97,119,94,14,11,18,16,36,3,21,0,7,5,0,2,0,0,5,4,1,0,0,1,0,0,2,0,5,1,8,21,0,385,175,2303,11/21/21,68.80%
Two-handed,34,Juan Martin Del Potro,Argentina,ARG,TRUE,9/23/88,111,90,11,10,27,7,18,3,33,2,3,3,0,5,0,0,5,5,0,0,0,0,0,1,0,0,1,0,2,22,0,439,174,2331,9/14/09,71.60%
One-handed,35,Manuel Orantes,Spain,ESP,FALSE,2/6/49,107,93,10,4,21,9,17,0,44,2,5,5,0,0,0,0,4,0,0,0,0,0,0,1,1,0,1,0,3,35,0,713,282,2290,9/10/75,71.70%
One-handed,36,Stan Wawrinka,Switzerland,SUI,TRUE,3/28/85,104,88,10,6,47,7,15,0,18,1,6,3,0,1,0,0,6,0,0,0,0,0,0,3,0,0,1,0,4,16,0,566,344,2291,4/20/14,62.20%
One-handed,37,Michael Stich,Germany,GER,FALSE,10/18/68,104,78,15,11,26,13,16,0,20,3,7,5,0,3,0,0,3,8,0,0,0,0,0,1,1,1,2,0,5,18,0,385,176,2272,12/10/93,68.60%
Two-handed,38,Marat Safin,Russian Federation,RUS,FALSE,1/27/80,102,78,20,4,32,4,27,0,12,3,10,8,1,1,0,0,4,0,0,0,0,0,0,2,0,0,5,0,7,15,9,422,267,2218,1/31/05,61.20%
Two-handed,39,Juan Carlos Ferrero,Spain,ESP,FALSE,2/12/80,99,76,16,7,25,5,25,0,19,2,6,8,1,1,0,0,3,4,0,0,0,0,0,1,0,0,4,0,5,16,8,479,262,2225,10/20/03,64.60%
One-handed,40,Tony Roche,Australia,AUS,FALSE,5/17/45,95,75,16,4,26,0,25,0,23,1,6,5,0,5,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,21,0,361,182,2355,3/2/69,66.50%
Two-handed,41,Carlos Moya,Spain,ESP,FALSE,8/27/76,93,79,12,2,19,10,24,0,23,3,3,8,0,1,0,0,2,0,0,0,0,0,0,1,0,0,3,0,4,20,2,575,319,2190,6/7/04,64.30%
Two-handed,42,Carlos Alcaraz Garfia,Spain,ESP,TRUE,5/5/03,91,56,27,8,22,2,20,0,12,0,13,8,4,2,0,0,3,4,1,0,0,0,0,2,0,0,4,0,6,12,36,149,43,2344,7/17/23,77.60%
One-handed,43,Patrick Rafter,Australia,AUS,FALSE,12/28/72,90,65,21,4,30,4,19,0,10,2,7,8,0,6,0,1,3,0,0,0,0,0,0,2,0,0,2,0,4,11,1,358,191,2255,10/2/98,65.20%
One-handed,44,Yannick Noah,France,FRA,FALSE,5/18/60,87,78,7,2,18,1,34,0,24,1,3,3,0,1,0,0,2,0,0,0,0,0,0,1,0,0,4,0,5,23,0,481,212,2268,6/6/83,69.40%
Two-handed,45,Tomas Berdych,Czech Republic,CZE,FALSE,9/17/85,84,79,2,3,26,6,25,0,19,3,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,13,0,640,341,2263,5/10/15,65.20%
One-handed,46,Roscoe Tanner,United States,USA,FALSE,10/15/51,81,75,3,3,25,4,26,0,20,0,1,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,4,16,0,596,297,2261,7/9/79,66.70%
One-handed,47,Dominic Thiem,Austria,AUT,TRUE,9/3/93,81,68,10,3,26,9,12,0,21,0,6,3,0,1,0,0,3,0,0,0,0,0,0,1,0,0,1,0,2,17,0,342,203,2250,11/23/20,62.80%
One-handed,48,Brian Gottfried,United States,USA,FALSE,1/27/52,80,73,5,2,9,9,23,0,31,1,1,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,3,25,0,698,330,2324,3/28/77,67.90%
One-handed,49,Stefanos Tsitsipas,Greece,GRE,TRUE,8/12/98,79,66,8,5,17,7,25,0,17,0,4,3,0,1,0,0,3,2,0,0,0,0,0,0,1,0,2,0,3,10,0,287,141,2258,6/13/21,67.10%
Two-handed,50,Marcelo Rios,Chile,CHI,FALSE,12/26/75,78,58,16,4,9,4,30,0,15,0,5,8,1,2,0,0,1,3,0,0,0,0,0,0,0,1,5,0,6,18,6,392,192,2241,6/8/98,67.10%
